DamStorage DetentionBasinStorage MeanDaysOfPrecipitationPerMonth GrayInfrastructureStorage VegetationHeight VegetationType VegetationCover SuccessionalStage VegetationInfiltrationAndInterception Slope HydrologicSoilGroup ImperviousSurfaceCover MonthlyTemperature FrozenSoil SoilInfiltration LeveesBridges FloodplainWidth FloodplainConveyance GreenInfrastructureStorage FloodSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage LowVegetationHeight ForestGrasslandShrublandVegetation LowVegetationCover MidSuccession Low Level SoilGroupC VeryLowImpervious LowTemperature Present VeryLow Present Narrow Low VeryLowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage HighVegetationHeight DevelopedCultivatedVegetation VeryHighVegetationCover MidSuccession High Level SoilGroupC HighlyImpervious HighTemperature Absent Moderate Present VeryWide Low VeryHighGreenStorage VeryHighSink
NoDamStorage DetentionBasinStorageNotPresent VeryHighDaysPrecipitation VeryLowGrayStorage ModerateVegetationHeight ForestGrasslandShrublandVegetation VeryLowVegetationCover NoSuccession VeryHigh Level SoilGroupB ModeratelyLowImpervious HighTemperature Absent VeryHigh Absent VeryWide High VeryHighGreenStorage VeryHighSink
NoDamStorage DetentionBasinStoragePresent LowDaysPrecipitation LowGrayStorage VeryLowVegetationHeight ForestGrasslandShrublandVegetation HighVegetationCover EarlySuccession Moderate SteeplyDissectedToMountainous SoilGroupC VeryLowImpervious HighTemperature Absent Low Absent Wide Moderate LowGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent VeryLowDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight ForestGrasslandShrublandVegetation VeryLowVegetationCover NoSuccession Moderate Level SoilGroupC ModeratelyLowImpervious HighTemperature Absent High Absent Narrow Low HighGreenStorage HighSink
NoDamStorage DetentionBasinStorageNotPresent VeryHighDaysPrecipitation VeryLowGrayStorage HighVegetationHeight DevelopedCultivatedVegetation VeryHighVegetationCover NoSuccession High GentlyUndulating SoilGroupA ModeratelyHighlyImpervious HighTemperature Absent High Absent Narrow Low LowGreenStorage LowSink
NoDamStorage DetentionBasinStorageNotPresent VeryHighDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight DevelopedCultivatedVegetation VeryHighVegetationCover EarlySuccession VeryLow Level SoilGroupC ModeratelyHighlyImpervious HighTemperature Absent VeryLow Present VeryNarrow Low VeryLowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent HighDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight DevelopedCultivatedVegetation ModerateVegetationCover MidSuccession VeryLow SteeplyDissectedToMountainous SoilGroupB LowImpervious HighTemperature Absent VeryLow Absent Narrow Low VeryLowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent LowDaysPrecipitation VeryLowGrayStorage VeryLowVegetationHeight DevelopedCultivatedVegetation HighVegetationCover NoSuccession VeryLow RollingToHilly SoilGroupC LowImpervious HighTemperature Absent VeryLow Absent Narrow Low VeryLowGreenStorage VeryLowSink
NoDamStorage DetentionBasinStorageNotPresent VeryHighDaysPrecipitation VeryLowGrayStorage ModerateVegetationHeight DevelopedCultivatedVegetation HighVegetationCover PoleSuccession Moderate GentlyUndulating SoilGroupA LowImpervious LowTemperature Present VeryLow Absent VeryNarrow Low VeryLowGreenStorage LowSink
