GreenhouseGasEmitters,CarbonEmitterUse
NoEmitter,EmitterUseAbsent
LowEmitter,EmitterUsePresent
NoEmitter,EmitterUseAbsent
VeryLowEmitter,EmitterUseAbsent
VeryLowEmitter,EmitterUseAbsent
HighEmitter,EmitterUsePresent
NoEmitter,EmitterUseAbsent
VeryHighEmitter,EmitterUsePresent
HighEmitter,EmitterUseAbsent
ModerateEmitter,EmitterUseAbsent
VeryLowEmitter,EmitterUsePresent
HighEmitter,EmitterUsePresent
NoEmitter,EmitterUseAbsent
NoEmitter,EmitterUseAbsent
VeryHighEmitter,EmitterUsePresent
LowEmitter,EmitterUseAbsent
VeryHighEmitter,EmitterUsePresent
ModerateEmitter,EmitterUsePresent
VeryHighEmitter,EmitterUsePresent
NoEmitter,EmitterUseAbsent
ModerateEmitter,EmitterUsePresent
NoEmitter,EmitterUseAbsent
VeryLowEmitter,EmitterUseAbsent
NoEmitter,EmitterUseAbsent
HighEmitter,EmitterUsePresent
VeryHighEmitter,EmitterUsePresent
LowEmitter,EmitterUsePresent
HighEmitter,EmitterUseAbsent
VeryLowEmitter,EmitterUseAbsent
ModerateEmitter,EmitterUseAbsent
LowEmitter,EmitterUseAbsent
NoEmitter,EmitterUseAbsent
LowEmitter,EmitterUsePresent
VeryHighEmitter,EmitterUsePresent
VeryHighEmitter,EmitterUsePresent
LowEmitter,EmitterUsePresent
LowEmitter,EmitterUsePresent
LowEmitter,EmitterUsePresent
ModerateEmitter,EmitterUsePresent
LowEmitter,EmitterUsePresent
ModerateEmitter,EmitterUseAbsent
LowEmitter,EmitterUsePresent
VeryLowEmitter,EmitterUsePresent
HighEmitter,EmitterUsePresent
ModerateEmitter,EmitterUsePresent
LowEmitter,EmitterUseAbsent
VeryLowEmitter,EmitterUseAbsent
HighEmitter,EmitterUsePresent
LowEmitter,EmitterUsePresent
LowEmitter,EmitterUsePresent
NoEmitter,EmitterUseAbsent
ModerateEmitter,EmitterUsePresent
LowEmitter,EmitterUseAbsent
HighEmitter,EmitterUsePresent
ModerateEmitter,EmitterUsePresent
HighEmitter,EmitterUsePresent
NoEmitter,EmitterUseAbsent
ModerateEmitter,EmitterUsePresent
VeryLowEmitter,EmitterUseAbsent
ModerateEmitter,EmitterUseAbsent
NoEmitter,EmitterUseAbsent
ModerateEmitter,EmitterUseAbsent
HighEmitter,EmitterUsePresent
LowEmitter,EmitterUseAbsent
NoEmitter,EmitterUseAbsent
NoEmitter,EmitterUseAbsent
LowEmitter,EmitterUseAbsent
VeryHighEmitter,EmitterUsePresent
LowEmitter,EmitterUsePresent
HighEmitter,EmitterUsePresent
VeryLowEmitter,EmitterUseAbsent
NoEmitter,EmitterUseAbsent
LowEmitter,EmitterUsePresent
LowEmitter,EmitterUsePresent
VeryHighEmitter,EmitterUsePresent
LowEmitter,EmitterUsePresent
VeryHighEmitter,EmitterUsePresent
LowEmitter,EmitterUseAbsent
ModerateEmitter,EmitterUsePresent
VeryLowEmitter,EmitterUsePresent
VeryHighEmitter,EmitterUsePresent
VeryHighEmitter,EmitterUsePresent
VeryLowEmitter,EmitterUseAbsent
LowEmitter,EmitterUseAbsent
LowEmitter,EmitterUsePresent
NoEmitter,EmitterUseAbsent
ModerateEmitter,EmitterUseAbsent
VeryLowEmitter,EmitterUseAbsent
LowEmitter,EmitterUseAbsent
NoEmitter,EmitterUseAbsent
VeryLowEmitter,EmitterUseAbsent
VeryHighEmitter,EmitterUsePresent
ModerateEmitter,EmitterUseAbsent
NoEmitter,EmitterUseAbsent
ModerateEmitter,EmitterUsePresent
HighEmitter,EmitterUseAbsent
ModerateEmitter,EmitterUsePresent
ModerateEmitter,EmitterUseAbsent
LowEmitter,EmitterUseAbsent
ModerateEmitter,EmitterUsePresent
